📡全部频道,#genre#
河南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225725/10000100000000060000000000401166_0.smil
海南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225711/10000100000000060000000000400978_0.smil
广西卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225712/10000100000000060000000000400979_0.smil
陕西卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225724/10000100000000060000000000401165_0.smil
青海卫视,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225719/10000100000000060000000000401068_0.smil
宁夏卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225726/10000100000000060000000000401167_0.smil
吉林卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225717/10000100000000060000000000401066_0.smil
山西卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225721/10000100000000060000000000401102_0.smil
甘肃卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225718/10000100000000060000000000401067_0.smil
内蒙古卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225720/10000100000000060000000000401101_0.smil
新疆卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225723/10000100000000060000000000401133_0.smil
兵团卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225707/10000100000000060000000000391858_0.smil
西藏卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225722/10000100000000060000000000401132_0.smil
大湾区卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225781/10000100000000060000000001425242_0.smil
三沙卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225804/10000100000000060000000001515181_0.smil
凤凰资讯,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,http://117.27.190.42:9901/tsfile/live/23279_1.m3u8
凤凰资讯,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
凤凰资讯,http://110.72.70.243:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.46:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://110.72.68.189:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.95:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.48:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://180.143.83.235:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.92:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://113.64.145.141:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.108:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.251:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.244:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.205:8081/hls/36/index.m3u8
凤凰资讯,http://183.1.251.197:8081/hls/36/index.m3u8
凤凰资讯,http://183.1.251.238:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.84:8081/hls/36/index.m3u8
凤凰资讯,http://183.1.251.35:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.95:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.131:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.186:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.228:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.9:8081/hls/36/index.m3u8
凤凰资讯,http://171.38.86.11:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://183.1.251.10:8081/hls/36/index.m3u8
凤凰资讯,http://183.1.248.117:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.200:8081/hls/36/index.m3u8
凤凰卫视,http://113.64.145.195:8081/hls/37/index.m3u8
凤凰卫视,http://110.72.70.243:8181/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://110.72.68.189:8181/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://180.143.83.235:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://113.64.145.141:8081/hls/37/index.m3u8
凤凰卫视,http://183.1.251.238:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.108:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.95:8081/hls/37/index.m3u8
凤凰卫视,http://183.1.251.197:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.244:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.84:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.205:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.9:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.251:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.186:8081/hls/37/index.m3u8
凤凰卫视,http://183.1.251.10:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.228:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.131:8081/hls/37/index.m3u8
凤凰卫视,http://183.1.251.35:8081/hls/37/index.m3u8
凤凰卫视,http://171.38.86.11:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://183.1.248.117:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.200:8081/hls/37/index.m3u8
香港卫视,http://113.64.145.195:8081/hls/38/index.m3u8
香港卫视,http://110.72.68.189:8181/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
香港卫视,http://180.143.83.235:8181/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
香港卫视,http://110.72.70.243:8181/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
香港卫视,http://113.64.145.141:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.205:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.251:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.108:8081/hls/38/index.m3u8
香港卫视,http://183.1.251.238:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.244:8081/hls/38/index.m3u8
香港卫视,http://183.1.251.35:8081/hls/38/index.m3u8
香港卫视,http://183.1.251.197:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.131:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.95:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.9:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.186:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.228:8081/hls/38/index.m3u8
香港卫视,http://183.1.251.10:8081/hls/38/index.m3u8
香港卫视,http://113.64.145.84:8081/hls/38/index.m3u8
香港卫视,http://183.1.248.117:8081/hls/38/index.m3u8
香港卫视,http://171.38.86.11:8181/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
香港卫视,http://113.64.145.200:8081/hls/38/index.m3u8
CETV1,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225976/10000100000000060000000004308955_0.smil
CETV2,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225747/10000100000000060000000000403955_0.smil
CETV4,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225748/10000100000000060000000000403956_0.smil
金鹰纪实,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225682/10000100000000060000000000390143_0.smil
纪实人文,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225683/10000100000000060000000000390171_0.smil
中国天气,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225805/10000100000000060000000001551139_0.smil
山东教育卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225705/10000100000000060000000000391773_0.smil
财富天下,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225704/10000100000000060000000000391508_0.smil
欢笑剧场4K,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225770/10000100000000060000000001418465_0.smil
都市剧场,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225771/10000100000000060000000001418795_0.smil
金鹰卡通,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225709/10000100000000060000000000400938_0.smil
BRTV KAKU少儿,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225710/10000100000000060000000000400947_0.smil
哈哈炫动,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225806/10000100000000060000000001551324_0.smil
动漫秀场,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225773/10000100000000060000000001423252_0.smil
嘉佳卡通,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225708/10000100000000060000000000400919_0.smil
游戏风云,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225785/10000100000000060000000001425778_0.smil
乐游,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225791/10000100000000060000000001506715_0.smil
法治天地,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225797/10000100000000060000000001507003_0.smil
东方财经,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225971/10000100000000060000000003359741_0.smil
金色学堂,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225810/10000100000000060000000001552917_0.smil
生活时尚,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225807/10000100000000060000000001551440_0.smil
CHC动作电影,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC动作电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC家庭影院,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC高清电影,http://[2409:8087:7000:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC动作电影,http://58.19.13.92:9901/tsfile/live/1037_1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影,https://epg.pw/stream/0fc644caf6205b2dd46b84766084d0a90eff010686f75b2fd646bdcf1943883d.m3u8
NewTV超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV武搏世界,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw1556325430_664703954/ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8?icpid=3&RTS=1674385966&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3
NewTV炫舞未来,http://[2409:8087:2001:20:2800:0:df6e:eb08]:80/wh7f454c46tw519702850_-1512208436/ott.mobaibox.com/PLTV/3/224/3221227475/index.m3u8?icpid=3&RTS=1674380635&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
